,collsci,collsci2,tpyamtw,tot,pct
1,ACETES SPP.,ACETES SP,3439.641,404037.8449,0.85131654
2,ACTEOCINA CANALICULATA,GASTROPODA,0.0096,404037.8449,2.38E-06
3,ACTINOPTERYGII,OSTEICHTHYES,4796.1434,404037.8449,1.18705301
4,ACTINOPTERYGII (LARVAL),FISH LARVAE,2.2738,404037.8449,0.000562769
5,AEGININA LONGICORNIS,CAPRELLIDAE,0.017,404037.8449,4.21E-06
6,ALCYONIDIUM SPP.,BRYOZOA,0.3369,404037.8449,8.34E-05
7,ALOSA AESTIVALIS,ALOSA AESTIVALIS,38.177,404037.8449,0.009448867
8,ALOSA SP,ALOSA SP,356.4,404037.8449,0.088209559
9,AMMODYTES SP,AMMODYTES SP,5487.59,404037.8449,1.358187128
10,AMMODYTES SPP.,AMMODYTES SP,79.1981,404037.8449,0.019601654
11,AMPELISCA SPP.,GAMMARIDEA,9.6823,404037.8449,0.002396384
12,AMPHIPODA,AMPHIPODA,400.38,404037.8449,0.099094678
13,AMPHIPODA SPP.,AMPHIPODA,2.9703,404037.8449,0.000735154
14,ANADARA OVALIS,BIVALVIA,1.119,404037.8449,0.000276954
15,ANCHOA HEPSETUS,ANCHOA HEPSETUS,23570.2258,404037.8449,5.833667835
16,ANCHOA MITCHILLI,ANCHOA MITCHILLI,50839.00772,404037.8449,12.58273411
17,ANCHOA SP,ANCHOA SP,1322.88,404037.8449,0.327414874
18,ANCHOA SPP.,ANCHOA SP,130.853,404037.8449,0.032386323
19,ANCINUS DEPRESSUS,ISOPODA,0.004,404037.8449,9.90E-07
20,ANIMAL REMAINS,ANIMAL REMAINS,9827.87,404037.8449,2.432413232
21,ANIMAL TUBES,ANIMAL TUBES,0.6252,404037.8449,0.000154738
22,ANTHOZOA,ANTHOZOA,0.46,404037.8449,0.000113851
23,ARABELLA IRICOLOR,POLYCHAETA,0.018,404037.8449,4.46E-06
24,ARGULUS SPP.,ARGULUS SP,0.006,404037.8449,1.49E-06
25,ARIOMMA BONDI,ARIOMMA BONDI,170.5,404037.8449,0.042199017
26,ARTHROPODA,ARTHROPODA,1,404037.8449,0.000247502
27,ARTIFICIAL,MISCELLANEOUS,1.568,404037.8449,0.000388082
28,ATHERINIDAE,ATHERINIDAE,99,404037.8449,0.024502655
29,AXIUS SERRATUS,AXIUS SERRATUS,0.034,404037.8449,8.42E-06
30,BAIRDIELLA CHRYSOURA,BAIRDIELLA CHRYSOURA,1652.1113,404037.8449,0.408900137
31,BIVALVIA,BIVALVIA,53.1473,404037.8449,0.01315404
32,BOTHIDAE,BOTHIDAE,469.48,404037.8449,0.116197036
33,BRANCHIOSTOMA SPP.,CEPHALOCHORDATA,1.337,404037.8449,0.00033091
34,BREVOORTIA TYRANNUS,BREVOORTIA TYRANNUS,4234.9706,404037.8449,1.048161862
35,CALANOID COPEPOD,COPEPODA,3.38263,404037.8449,0.000837206
36,CALLIANASSIDAE,CALLIANASSIDAE,0.403,404037.8449,9.97E-05
37,CALLINECTES SAPIDUS,CALLINECTES SAPIDUS,476.0072,404037.8449,0.117812528
